subscriber_id,customer_id,device_id,plan_id,msisdn_like,start_date,subscriber_status,home_region,quarantine_reason
SUB00000134,CUST00004107,DEV_BAD,PLN006,5553220889,2025-10-10,Active,Midwest,Missing device
SUB00000186,CUST00001206,DEV_BAD,PLN003,5557676369,2021-05-25,Suspended,Midwest,Missing device
SUB00000483,CUST00001720,DEV_BAD,PLN010,5555024639,2021-08-20,Active,Northeast,Missing device
SUB00000650,CUST00003019,DEV_BAD,PLN008,5557338524,2022-08-11,Active,Midwest,Missing device
SUB00000741,CUST00001723,DEV_BAD,PLN016,5551698887,2021-05-12,Cancelled,Southwest,Missing device
SUB00001231,CUST00001523,DEV_BAD,PLN013,5551308476,2025-05-31,Cancelled,Northeast,Missing device
SUB00001266,CUST00000456,DEV_BAD,PLN001,5558436686,2022-07-11,Active,Midwest,Missing device
SUB00001454,CUST00000539,DEV_BAD,PLN009,5553897448,2021-11-21,Cancelled,West,Missing device
SUB00001469,CUST00002052,DEV_BAD,PLN016,5551781270,2020-05-29,Active,Northeast,Missing device
SUB00001565,CUST00002588,DEV_BAD,PLN008,5553006205,2020-01-14,Active,Southeast,Missing device
SUB00001603,CUST00000914,DEV_BAD,PLN002,5557157723,2023-07-24,Cancelled,Northeast,Missing device
SUB00001795,CUST00000099,DEV_BAD,PLN017,5559975368,2022-04-02,Active,Southeast,Missing device
SUB00002050,CUST00000557,DEV_BAD,PLN017,5556737445,2024-10-03,Suspended,West,Missing device
SUB00002202,CUST00000172,DEV_BAD,PLN011,5552183655,2020-06-04,Active,Northeast,Missing device
SUB00003116,CUST00001653,DEV_BAD,PLN011,5557975495,2021-04-20,Active,Northeast,Missing device
SUB00004009,CUST00003988,DEV_BAD,PLN003,5554223546,2024-09-04,Active,Southwest,Missing device
SUB00004420,CUST00004179,DEV_BAD,PLN019,5559412195,2023-07-06,Active,Southwest,Missing device
SUB00004830,CUST00002160,DEV_BAD,PLN002,5558499495,2022-02-22,Active,Northeast,Missing device
SUB00004868,CUST00002884,DEV_BAD,PLN005,5551921001,2022-11-08,Cancelled,Midwest,Missing device
