customer_id,customer_name,customer_segment,city,region,signup_date,credit_class,autopay_flag,active_flag,effective_start_date,source,effective_end_date,is_current,customer_sk
CUST00000001,Alex Kim 1,Enterprise,Denver,West,2022-02-05,B,False,True,2022-02-05,customer_master,9999-12-31,True,0be48d16fa31d15b1273
CUST00000002,Jordan Garcia 2,Enterprise,Portland,West,,C,False,True,1900-01-01,customer_master,9999-12-31,True,429c1896864ef0eb3b20
CUST00000003,Taylor Lee 3,Small Business,Jacksonville,Southeast,,A,True,True,1900-01-01,customer_master,9999-12-31,True,1006cabf4856af9915fe
CUST00000004,Morgan Kim 4,Government,Indianapolis,Midwest,,D,False,False,1900-01-01,customer_master,9999-12-31,True,5d768e4027477288b451
CUST00000005,Alex Kim 5,Consumer,Nashville,Southeast,,A,False,True,1900-01-01,customer_master,2026-03-15,False,00b5e06fbcc10bd6d00d
CUST00000005,Alex Kim 5,Small Business,Nashville,Southeast,,D,False,True,2026-03-15,customer_cdc,9999-12-31,True,00829682f8db5104779d
CUST00000006,Jordan Smith 6,Consumer,Detroit,Midwest,,B,True,True,1900-01-01,customer_master,9999-12-31,True,f5d0bc34ac6ebcd6e239
CUST00000007,Morgan Kim 7,Consumer,Denver,West,2019-10-21,C,True,True,2019-10-21,customer_master,9999-12-31,True,0ff6e352cc5dd35fcec6
CUST00000008,Morgan Brown 8,Enterprise,Detroit,Midwest,,C,True,True,1900-01-01,customer_master,9999-12-31,True,56619d6168c7f3d0597c
CUST00000009,Casey Lee 9,Government,Albuquerque,Southwest,2024-07-23,B,False,False,2024-07-23,customer_master,9999-12-31,True,59f3495bac0f7b2d831e
CUST00000010,Morgan Garcia 10,Consumer,Columbus,Midwest,,C,True,True,1900-01-01,customer_master,9999-12-31,True,2f587bf0311d95263d5e
CUST00000011,Alex Kim 11,Government,Jacksonville,Southeast,2022-09-20,D,True,False,2022-09-20,customer_master,9999-12-31,True,accec3a68a185e383ba0
CUST00000012,Casey Brown 12,Small Business,Columbus,Midwest,2020-09-11,A,False,True,2020-09-11,customer_master,9999-12-31,True,041dd2d14701b3ec46f1
