customer_id,customer_name,customer_segment,city,region,signup_date,credit_class,autopay_flag,active_flag,ticket_count,open_ticket_count,avg_resolution_hours,total_data_gb,dropped_calls,poor_qoe_sessions,billed_amount,open_amount,past_due_invoices,churn_risk_score
CUST00000783,Jordan Lee 783,Government,Chicago,Midwest,2023-06-04,D,True,False,6.0,2.0,73.25,5.6230224609375,1.0,2.0,560.64,220.03,1.0,41.0
CUST00001495,Casey Kim 1495,Consumer,Chicago,Midwest,,D,True,False,5.0,1.0,61.75,11.867247070312501,3.0,1.0,987.65,596.79,3.0,40.75
CUST00004390,Casey Garcia 4390,Enterprise,Detroit,Midwest,,D,False,False,7.0,1.0,63.833333333333336,7.48880078125,2.0,0.0,653.34,274.08,1.0,40.0
CUST00000498,Casey Garcia 498,Government,Chicago,Midwest,,A,True,False,3.0,2.0,35.0,20.358749023437497,2.0,0.0,592.08,493.07000000000005,3.0,39.0
CUST00000507,Jordan Smith 507,Consumer,Austin,Southwest,2025-06-27,A,False,False,3.0,2.0,4.0,3.4419853515625,2.0,0.0,384.84000000000003,361.69,3.0,39.0
CUST00004336,Alex Kim 4336,Consumer,Philadelphia,Northeast,,A,True,False,3.0,1.0,82.5,14.5281103515625,7.0,4.0,806.49,466.62,2.0,37.5
CUST00001335,Jordan Patel 1335,Enterprise,Indianapolis,Midwest,,A,False,False,3.0,2.0,94.0,6.2693779296875,2.0,1.0,549.19,342.61,2.0,37.25
CUST00003294,Alex Kim 3294,Small Business,Detroit,Midwest,,A,False,False,3.0,1.0,59.0,11.0031845703125,2.0,2.0,1003.05,755.0,3.0,36.5
CUST00001735,Casey Lee 1735,Small Business,Albany,Northeast,,D,False,False,2.0,1.0,32.0,15.3568662109375,2.0,1.0,1263.6599999999999,793.02,4.0,36.25
CUST00001500,Jordan Brown 1500,Small Business,Albany,Northeast,,C,True,False,5.0,1.0,48.75,4.6267802734375,2.0,0.0,692.52,390.98,1.0,36.0
CUST00001471,Casey Garcia 1471,Enterprise,Indianapolis,Midwest,2019-02-04,C,False,False,3.0,1.0,28.5,8.3537587890625,4.0,0.0,959.54,701.12,2.0,35.0
CUST00001209,Alex Brown 1209,Consumer,Philadelphia,Northeast,2022-07-19,D,True,False,4.0,0.0,51.75,7.610544921875,1.0,1.0,685.7,647.24,3.0,34.75
CUST00002352,Riley Patel 2352,Consumer,Indianapolis,Midwest,2023-08-18,C,True,False,3.0,1.0,81.5,12.1810341796875,3.0,1.0,705.1,350.03999999999996,2.0,34.75
CUST00001344,Riley Lee 1344,Small Business,Portland,West,,B,False,False,4.0,0.0,47.75,7.9677314453125,5.0,0.0,822.05,470.59999999999997,2.0,34.5
CUST00001720,Taylor Patel 1720,Small Business,Albany,Northeast,,C,False,False,3.0,0.0,33.0,13.596494140625001,3.0,3.0,620.1999999999999,496.73,3.0,34.25
CUST00001110,Taylor Brown 1110,Consumer,Denver,West,2019-09-19,A,True,False,3.0,0.0,61.0,25.8657421875,4.0,1.0,1168.4,759.31,3.0,34.25
CUST00003676,Alex Patel 3676,Small Business,Philadelphia,Northeast,2020-02-22,A,True,False,4.0,1.0,57.333333333333336,8.8889892578125,2.0,1.0,755.96,298.95,1.0,34.25
CUST00000431,Taylor Brown 431,Small Business,Birmingham,Southeast,,A,True,False,3.0,2.0,55.0,3.157607421875,0.0,0.0,247.45,247.45,1.0,34.0
CUST00003835,Alex Smith 3835,Consumer,Atlanta,Southeast,2025-04-24,A,True,False,3.0,2.0,99.0,5.2784619140624995,0.0,0.0,589.0,479.73999999999995,1.0,34.0
CUST00000175,Morgan Smith 175,Government,Chicago,Midwest,2018-02-14,C,True,False,4.0,1.0,52.0,9.8746015625,2.0,0.0,384.21,179.82,1.0,34.0
CUST00003499,Jordan Smith 3499,Consumer,Portland,West,2019-09-19,D,False,False,3.0,2.0,82.0,0.378609375,0.0,0.0,361.41999999999996,361.41999999999996,1.0,34.0
CUST00002717,Alex Kim 2717,Enterprise,Atlanta,Southeast,,A,True,False,3.0,2.0,69.0,5.480998046875,0.0,0.0,307.76,36.42,1.0,34.0
CUST00004216,Casey Patel 4216,Consumer,Jacksonville,Southeast,,C,False,False,3.0,1.0,90.5,7.094234375,1.0,1.0,1054.84,588.19,2.0,33.75
CUST00004173,Alex Kim 4173,Consumer,Phoenix,Southwest,2021-07-11,A,True,False,3.0,1.0,58.5,8.301177734374999,0.0,2.0,845.3299999999999,480.71,2.0,33.5
CUST00001412,Jordan Garcia 1412,Government,Columbus,Midwest,,A,True,False,4.0,1.0,70.66666666666667,3.4211669921875,1.0,0.0,168.28,94.46000000000001,1.0,33.5
CUST00001135,Casey Kim 1135,Enterprise,Portland,West,,A,True,False,3.0,1.0,97.0,6.9751943359375,1.0,0.0,664.11,345.9,2.0,33.5
CUST00002958,Taylor Kim 2958,Consumer,Phoenix,Southwest,,D,False,False,1.0,0.0,46.0,16.827232421875,4.0,5.0,1018.85,615.16,4.0,33.25
CUST00000672,Alex Smith 672,Consumer,Austin,Southwest,,A,False,False,3.0,0.0,51.333333333333336,6.730140624999999,2.0,1.0,1090.01,713.9,3.0,33.25
CUST00000368,Casey Kim 368,Government,Boston,Northeast,,C,True,False,5.0,1.0,35.75,7.315447265625,0.0,1.0,329.53999999999996,0.0,0.0,33.25
CUST00002815,Jordan Garcia 2815,Small Business,Austin,Southwest,2023-01-30,D,False,False,5.0,1.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,33.0
CUST00002965,Morgan Brown 2965,Enterprise,Dallas,Southwest,,C,True,False,4.0,0.0,56.0,7.244695312499999,2.0,0.0,443.83,443.83,2.0,33.0
