customer_id,customer_name,customer_segment,city,region,signup_date,credit_class,autopay_flag,active_flag,ticket_count,open_ticket_count,avg_resolution_hours,total_data_gb,dropped_calls,poor_qoe_sessions,billed_amount,open_amount,past_due_invoices,churn_risk_score
CUST00000004,Morgan Kim 4,Government,Indianapolis,Midwest,,D,False,False,4.0,1.0,43.666666666666664,2.5838544921875,0.0,0.0,177.99,11.439999999999998,0.0,31.0
CUST00000009,Casey Lee 9,Government,Albuquerque,Southwest,2024-07-23,B,False,False,1.0,0.0,47.0,10.48015234375,0.0,1.0,578.66,578.66,2.0,26.25
CUST00000011,Alex Kim 11,Government,Jacksonville,Southeast,2022-09-20,D,True,False,0.0,0.0,,5.790171875,1.0,0.0,273.82,120.63000000000001,1.0,22.5
CUST00000013,Taylor Garcia 13,Consumer,Jacksonville,Southeast,2018-06-03,D,False,False,1.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
CUST00000016,Taylor Garcia 16,Enterprise,Dallas,Southwest,,C,False,False,0.0,0.0,,9.8990888671875,0.0,2.0,411.83,411.83,1.0,22.5
CUST00000025,Alex Smith 25,Enterprise,Denver,West,2020-04-07,B,False,False,1.0,0.0,111.0,0.0,0.0,0.0,216.74,0.0,0.0,22.0
CUST00000028,Jordan Smith 28,Small Business,Jacksonville,Southeast,2023-03-30,A,True,True,3.0,2.0,52.0,6.067482421875,3.0,2.0,287.1,250.45000000000002,1.0,16.0
CUST00000036,Morgan Patel 36,Enterprise,Philadelphia,Northeast,,A,True,False,0.0,0.0,,5.758005859375,0.0,0.0,311.71000000000004,54.54,0.0,20.0
CUST00000040,Riley Lee 40,Small Business,Boston,Northeast,2025-11-02,B,True,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.0
CUST00000043,Casey Kim 43,Small Business,Philadelphia,Northeast,2024-02-05,C,False,False,1.0,1.0,,4.2183349609375,0.0,1.0,218.62,208.24,1.0,27.25
