customer_id,customer_name,email,city,state,region,signup_date,loyalty_tier,household_size,active_flag
CUST00000001,Taylor Brown 1,customer1@example.com,Aurora,CO,West,2020-08-31,Basic,bad,Y
CUST00000002,Casey Brown 2,customer2@example.com,Savannah,GA,South,06/16/2022,Plus,5,N
CUST00000003,Taylor Lee 3,customer3@example.com,Savannah,GA,South,08/09/2020,,4,Y
CUST00000004,Jordan Kim 4,customer4@example.com,Austin,TX,South,2025-06-07,gold ,4,True
CUST00000005,Taylor Lee 5,customer5@example.com,Seattle,WA,West,2020-04-20,Gold,1,N
CUST00000006,Jordan Garcia 6,customer6@example.com,Savannah,GA,South,08/02/2025,Plus,5,Yes
CUST00000007,Casey Brown 7,customer7@example.com,Los Angeles,CA,West,09/03/2020,gold ,1,Y
CUST00000008,Morgan Lee 8,customer8@example.com,Orlando,FL,South,01/29/2022,Plus,,Y
CUST00000009,Morgan Patel 9,customer9@example.com,Buffalo,NY,Northeast,03/01/2026,Silver,bad,N
CUST00000010,Riley Kim 10,customer10@example.com,Denver,CO,West,03/06/2021,Basic,3,Y
CUST00000011,Taylor Patel 11,customer11@example.com,Savannah,GA,South,2023-09-01,Silver,5,Y
CUST00000012,Alex Smith 12,customer12@example.com,Chicago,IL,Midwest,08/07/2022,gold ,4,True
CUST00000013,Casey Smith 13,customer13@example.com,Seattle,WA,West,2025-09-13,Gold,2,Y
CUST00000014,Jordan Patel 14,customer14@example.com,Orlando,FL,South,2025-02-10,Plus,2,Y
CUST00000015,Alex Patel 15,customer15@example.com,Orlando,FL,South,2025-01-06,,2,N
CUST00000016,Alex Garcia 16,customer16@example.com,Peoria,IL,Midwest,08/09/2020,Silver,4,N
CUST00000017,Alex Garcia 17,customer17@example.com,Austin,TX,South,2024-12-28,Silver,bad,N
CUST00000018,Casey Smith 18,customer18@example.com,Savannah,GA,South,2021-09-06,,3,True
CUST00000019,Taylor Kim 19,customer19@example.com,Dallas,TX,South,02/16/2024,Silver,6,Y
CUST00000020,Casey Smith 20,customer20@example.com,Peoria,IL,Midwest,12/25/2024,Basic,4,Y
CUST00000021,Taylor Kim 21,customer21@example.com,Orlando,FL,South,2020-05-18,Silver,1,Y
CUST00000022,Morgan Kim 22,customer22@example.com,Aurora,CO,West,01/20/2022,Silver,bad,True
CUST00000023,Alex Brown 23,customer23@example.com,Sacramento,CA,West,2022-06-02,Gold,bad,Y
CUST00000024,Morgan Kim 24,customer24@example.com,Seattle,WA,West,07/01/2023,Gold,5,True
CUST00000025,Jordan Kim 25,customer25@example.com,Dallas,TX,South,12/16/2023,Gold,2,Y
CUST00000026,Riley Smith 26,customer26@example.com,Denver,CO,West,09/05/2024,gold ,1,N
CUST00000027,Riley Patel 27,customer27@example.com,Atlanta,GA,South,12/23/2025,Basic,4,N
CUST00000028,Morgan Kim 28,customer28@example.com,Miami,FL,South,2026-02-16,gold ,2,True
CUST00000029,Taylor Garcia 29,customer29@example.com,Savannah,GA,South,10/23/2025,,bad,True
CUST00000030,Alex Garcia 30,customer30@example.com,Denver,CO,West,03/24/2021,Silver,5,Y
CUST00000031,Alex Brown 31,customer31@example.com,Atlanta,GA,South,02/07/2021,,1,Y
CUST00000032,Casey Smith 32,customer32@example.com,Sacramento,CA,West,2022-09-25,Silver,2,Y
CUST00000033,Jordan Patel 33,customer33@example.com,Los Angeles,CA,West,2025-04-08,,6,Y
CUST00000034,Riley Kim 34,customer34@example.com,Austin,TX,South,08/16/2025,Silver,bad,N
CUST00000035,Taylor Lee 35,customer35@example.com,Denver,CO,West,10/20/2024,gold ,1,Yes
CUST00000036,Jordan Brown 36,customer36@example.com,Seattle,WA,West,09/17/2023,gold ,bad,N
CUST00000037,Jordan Patel 37,customer37@example.com,Denver,CO,West,05/06/2025,,1,True
CUST00000038,Taylor Smith 38,customer38@example.com,Austin,TX,South,02/06/2026,Gold,3,N
CUST00000039,Jordan Kim 39,customer39@example.com,Aurora,CO,West,10/04/2025,Silver,5,Y
CUST00000040,Morgan Brown 40,customer40@example.com,Buffalo,NY,Northeast,2023-07-15,gold ,,True
CUST00000041,Casey Smith 41,customer41@example.com,Los Angeles,CA,West,2023-10-08,gold ,,Y
CUST00000042,Jordan Smith 42,customer42@example.com,Houston,TX,South,07/27/2020,Gold,2,Y
CUST00000043,Morgan Lee 43,customer43@example.com,Savannah,GA,South,03/21/2026,Silver,1,True
CUST00000044,Taylor Patel 44,customer44@example.com,Houston,TX,South,2021-07-07,Basic,1,Y
CUST00000045,Alex Kim 45,customer45@example.com,Miami,FL,South,01/05/2020,Basic,4,Yes
CUST00000046,Casey Patel 46,customer46@example.com,Atlanta,GA,South,12/05/2025,Silver,5,N
CUST00000047,Alex Patel 47,customer47@example.com,Dallas,TX,South,2022-06-14,Basic,2,Y
CUST00000048,Taylor Brown 48,customer48@example.com,Tacoma,WA,West,12/21/2023,Plus,3,Y
CUST00000049,Alex Lee 49,customer49@example.com,Tacoma,WA,West,10/14/2024,Basic,1,Y
CUST00000050,Casey Garcia 50,customer50@example.com,Orlando,FL,South,06/09/2024,Gold,5,N
CUST00000051,Taylor Lee 51,customer51@example.com,Chicago,IL,Midwest,2023-06-08,gold ,4,Y
CUST00000052,Casey Smith 52,customer52@example.com,Albany,NY,Northeast,2022-02-20,Basic,5,Y
