customer_id,customer_name,email,city,state,region,signup_date,loyalty_tier,household_size,active_flag,effective_start_date,source,effective_end_date,is_current,customer_sk
CUST00000001,Taylor Brown 1,customer1@example.com,Aurora,CO,West,2020-08-31,Basic,,True,2020-08-31,customer_master,9999-12-31,True,ae4ac008830570331bcd
CUST00000002,Casey Brown 2,customer2@example.com,Savannah,GA,South,,Plus,5.0,False,1900-01-01,customer_master,9999-12-31,True,97431ce24b00ae2ef70d
CUST00000003,Taylor Lee 3,customer3@example.com,Savannah,GA,South,,Unknown,4.0,True,1900-01-01,customer_master,9999-12-31,True,fb8a1de7d7e3ba1717d5
CUST00000004,Jordan Kim 4,customer4@example.com,Austin,TX,South,2025-06-07,Gold,4.0,True,2025-06-07,customer_master,9999-12-31,True,d4921dc27c2a9e13c348
CUST00000005,Taylor Lee 5,customer5@example.com,Seattle,WA,West,2020-04-20,Gold,1.0,False,2020-04-20,customer_master,9999-12-31,True,ba5aace5d75f757c4499
CUST00000006,Jordan Garcia 6,customer6@example.com,Savannah,GA,South,,Plus,5.0,True,1900-01-01,customer_master,9999-12-31,True,228d2215b5e2c1167657
CUST00000007,Casey Brown 7,customer7@example.com,Los Angeles,CA,West,,Gold,1.0,True,1900-01-01,customer_master,9999-12-31,True,98bf509a9aeb091dd664
CUST00000008,Morgan Lee 8,customer8@example.com,Orlando,FL,South,,Plus,,True,1900-01-01,customer_master,9999-12-31,True,97feb3f23e4cf85bbfc2
CUST00000009,Morgan Patel 9,customer9@example.com,Buffalo,NY,Northeast,,Silver,,False,1900-01-01,customer_master,9999-12-31,True,1be6219cab4f56d8a526
CUST00000010,Riley Kim 10,customer10@example.com,Denver,CO,West,,Basic,3.0,True,1900-01-01,customer_master,9999-12-31,True,9d651f21c19b272850a3
CUST00000011,Taylor Patel 11,customer11@example.com,Savannah,GA,South,2023-09-01,Silver,5.0,True,2023-09-01,customer_master,9999-12-31,True,10590d16a2b727a3496a
CUST00000012,Alex Smith 12,customer12@example.com,Chicago,IL,Midwest,,Gold,4.0,True,1900-01-01,customer_master,9999-12-31,True,94d7c7736f12929c0aa8
CUST00000013,Casey Smith 13,customer13@example.com,Seattle,WA,West,2025-09-13,Gold,2.0,True,2026-05-13,spend_review,9999-12-31,True,67cd44578367a9e56dbf
CUST00000014,Jordan Patel 14,customer14@example.com,Orlando,FL,South,2025-02-10,Plus,2.0,True,2025-02-10,customer_master,9999-12-31,True,35fa3b7fe56f6ed982f8
CUST00000015,Alex Patel 15,customer15@example.com,Orlando,FL,South,2025-01-06,Unknown,2.0,False,2025-01-06,customer_master,9999-12-31,True,5fbb063e439f9c03cc13
CUST00000016,Alex Garcia 16,customer16@example.com,Peoria,IL,Midwest,,Silver,4.0,False,1900-01-01,customer_master,9999-12-31,True,bde666d03b1d37542a9b
CUST00000017,Alex Garcia 17,customer17@example.com,Austin,TX,South,2024-12-28,Gold,,False,2026-04-15,inactive_cleanup,9999-12-31,True,e6f04b509c3525cc7824
CUST00000018,Casey Smith 18,customer18@example.com,Savannah,GA,South,2021-09-06,Unknown,3.0,True,2021-09-06,customer_master,9999-12-31,True,3b8dd6d58391cbb80a32
CUST00000019,Taylor Kim 19,customer19@example.com,Dallas,TX,South,,Silver,6.0,True,1900-01-01,customer_master,9999-12-31,True,e684d5a42326c9370bd6
CUST00000020,Casey Smith 20,customer20@example.com,Peoria,IL,Midwest,,Basic,4.0,True,1900-01-01,customer_master,9999-12-31,True,405d12485b647d199132
CUST00000021,Taylor Kim 21,customer21@example.com,Orlando,FL,South,2020-05-18,Silver,1.0,True,2020-05-18,customer_master,9999-12-31,True,46495168a64be7bfbd6c
CUST00000022,Morgan Kim 22,customer22@example.com,Aurora,CO,West,,Silver,,True,1900-01-01,customer_master,9999-12-31,True,81e5c524b52d70027ef7
CUST00000023,Alex Brown 23,customer23@example.com,Sacramento,CA,West,2022-06-02,Gold,,True,2022-06-02,customer_master,9999-12-31,True,a3e097d4fc9bcc19a34d
CUST00000024,Morgan Kim 24,customer24@example.com,Seattle,WA,West,,Gold,5.0,True,1900-01-01,customer_master,9999-12-31,True,90e1e15774a30c6c58e8
CUST00000025,Jordan Kim 25,customer25@example.com,Dallas,TX,South,,Gold,2.0,True,1900-01-01,customer_master,9999-12-31,True,0a3931aa1c818e07d93b
CUST00000026,Riley Smith 26,customer26@example.com,Denver,CO,West,,Gold,1.0,False,1900-01-01,customer_master,9999-12-31,True,3068bca1152d5f1db748
CUST00000027,Riley Patel 27,customer27@example.com,Atlanta,GA,South,,Basic,4.0,False,1900-01-01,customer_master,9999-12-31,True,0cbafed0c8f00919b318
CUST00000028,Morgan Kim 28,customer28@example.com,Miami,FL,South,2026-02-16,Gold,2.0,True,2026-02-16,customer_master,9999-12-31,True,2fec94879e3478f423de
CUST00000029,Taylor Garcia 29,customer29@example.com,Savannah,GA,South,,Unknown,,True,1900-01-01,customer_master,9999-12-31,True,bcdbe092730010e90745
CUST00000030,Alex Garcia 30,customer30@example.com,Denver,CO,West,,Silver,5.0,True,1900-01-01,customer_master,9999-12-31,True,7b807bc0cd26be570fb6
CUST00000031,Alex Brown 31,customer31@example.com,Atlanta,GA,South,,Unknown,1.0,True,1900-01-01,customer_master,9999-12-31,True,efa1310cb0adf57db96f
CUST00000032,Casey Smith 32,customer32@example.com,Sacramento,CA,West,2022-09-25,Silver,2.0,True,2022-09-25,customer_master,9999-12-31,True,492148b57af33bcb0350
CUST00000033,Jordan Patel 33,customer33@example.com,Los Angeles,CA,West,2025-04-08,Unknown,6.0,True,2025-04-08,customer_master,9999-12-31,True,f85c15a37cbdf8515276
CUST00000034,Riley Kim 34,customer34@example.com,Austin,TX,South,,Silver,,False,1900-01-01,customer_master,9999-12-31,True,4a187e0a3243309922ce
CUST00000035,Taylor Lee 35,customer35@example.com,Denver,CO,West,,Gold,1.0,True,1900-01-01,customer_master,9999-12-31,True,4afd2df58647f600834f
CUST00000036,Jordan Brown 36,customer36@example.com,Seattle,WA,West,,Gold,,False,1900-01-01,customer_master,9999-12-31,True,58eebd32759705f27a00
CUST00000037,Jordan Patel 37,customer37@example.com,Denver,CO,West,,Unknown,1.0,True,1900-01-01,customer_master,9999-12-31,True,35352d8fb13830eaa60b
CUST00000038,Taylor Smith 38,customer38@example.com,Austin,TX,South,,Gold,3.0,False,1900-01-01,customer_master,9999-12-31,True,141aba36039d61bbb30f
CUST00000039,Jordan Kim 39,customer39@example.com,Aurora,CO,West,,Silver,5.0,True,1900-01-01,customer_master,9999-12-31,True,dd07566511d72cdc365e
CUST00000040,Morgan Brown 40,customer40@example.com,Buffalo,NY,Northeast,2023-07-15,Gold,,True,2023-07-15,customer_master,9999-12-31,True,8766d2502e14bbfd8c80
CUST00000041,Casey Smith 41,customer41@example.com,Los Angeles,CA,West,2023-10-08,Gold,,True,2023-10-08,customer_master,9999-12-31,True,09b8e87481d4d7706e3a
CUST00000042,Jordan Smith 42,customer42@example.com,Houston,TX,South,,Gold,2.0,True,1900-01-01,customer_master,9999-12-31,True,a36cb6d588c79a71ceab
CUST00000043,Morgan Lee 43,customer43@example.com,Savannah,GA,South,,Silver,1.0,True,1900-01-01,customer_master,9999-12-31,True,84d790c5be1745a9fcb1
CUST00000044,Taylor Patel 44,customer44@example.com,Houston,TX,South,2021-07-07,Basic,1.0,True,2021-07-07,customer_master,9999-12-31,True,217f1359ebe0f50f9746
CUST00000045,Alex Kim 45,customer45@example.com,Miami,FL,South,,Basic,4.0,True,1900-01-01,customer_master,9999-12-31,True,0addda5b22ef831d121d
CUST00000046,Casey Patel 46,customer46@example.com,Atlanta,GA,South,,Silver,5.0,False,1900-01-01,customer_master,9999-12-31,True,e10dc44df481509e553e
CUST00000047,Alex Patel 47,customer47@example.com,Dallas,TX,South,2022-06-14,Basic,2.0,True,2022-06-14,customer_master,9999-12-31,True,e3b34c4cac8a102cace1
